#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,noto-fonts,"noto"
,ranger,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,picom,"for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,feh,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,gvim,"provides a build of vim with the ability to copy and paste between other programs."
A,polybar,"is the status bar."
,i3lock-color,"is the screen lock."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,networkmanager,"does exactly what it sounds like."
,nmcli,""
,wifi-menu,""
,ntfs-3g,"allows accessing NTFS partitions."
,imagemagick,"is a terminal image-manipulator providing some ranger shortcuts and the lockscreen in LARBS."
,htop,"provides system usage information and displays processes."
,unzip,"unzips zips."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh,"preferred shell"
,ttf-font-awesome,""
A,spotify,""
,playerctl,""
,zsh-theme-powerlevel10k-git,"is zsh theme"
,network-manager-applet,"is a system tray applet for network management"
,neofetch,"is a CLI system info tool"
,conky,""
A,papirus-icon-theme,"is my prefered icon theme"
,rofi,"is a window switcher, app launcher and dmenu replacement"
,udiskie,"is a disk handler (mount & unmount)"
,nitrogen, "Wallpaper setting and restoration"
,slim,"is the graphical login manager for X11"
A,gcalcli,"provides CLI google calender"
G,https://github.com/ravsimar-sodhi/st.git,"is the custom build of suckless's terminal emulator."
A,simple-mtpfs-git,"enables the mounting of cell phones."
